,Topics,Authors,Date,Description
521,"A systems engineering study of global positioning system installation onto Army aircraft 
","Grekoski, Edward D.",1995-12,no description
522,"Iterative methods for parameter estimation 
","MacHardy, William R.",1990-12,"In 1949 Sweden elected not to join NATO and declared a
security policy which remains in effect today: nonalignment
in peace, neutrality in war. To conduct this
policy, Sweden must have a credible deterrent. In this
context, ..."
523,"Resistance scaling and predictions of SLICE hulls from model tests 
","Stevens, Henry William.",1995-09,"This thesis presents an overview of the Availability
Centered Inventory Model (ACIM). Information and analyses
are provided for the system and support hierarchies, rudimentary
assumptions, and the maximum availability ..."
524,"An investigation of some free energies of absorption. 
","Abraham, Sigmund",1956-06,no description
525,"Sweden : NATO's silent partner? 
","Keys, James E. Jr.",1984-12,no description
526,"LAMPS MK III pack-up kit sparres selection as depicted by the Availibility Centered Inventory Model (ACIM). 
","McDonell, James A.",1984-03,no description
527,"Student-faculty evaluation : what place in academe 
","Melidosian, Vivian G.; White, Carol A.",1984,no description
528,"Decision maker's guide to issues effecting post-closure reutilization of municipal solid waste landfills. 
","Ganowski, Robert W.",1996,no description
529,"Maximizing negotiations over United States' national interests with the association of southeast Asian nations. 
","Stubblefield, Gary L.",1980,"A theoretical prediction of the folded path weighting
function for optical scintillation strength was made by Dr.
Avihu Ze'evi. In an effort to verify this prediction, a
sixty - one meter, enclosed turbulence chamber ..."
530,"Electron irradiation of light emitting diodes. 
","Ness, Christian Quarles",1984,"Strategic planning is receiving increased emphasis in
both public and private sector organizations. This
increased emphasis has recently been evident in the Naval
Supply Systems Command (NAVSUP) which issued its ..."
531,"Real time sensing and control of out-of-plane distortion due to line heating by laser. 
","Johnson, Robert Charles",1984,"Mobilization represents an instrument of significant
importance in U.S. strategic policy. Inherent in the mobilization
process and a viable, secure mobilization base is
the capacity for maximizing potential national strength ..."
532,"Measurements of folded path optical scintillation using a corner cube, a cat's eye and a flat mirror reflector. 
","Kim, Jong Hwan",1984-12,"This study examines the relationship between personality variables and the effectiveness of U. S. Navy Organizational Effectiveness (OE) 
consultants. The hypothesis of the study is that personality characteristics of ..."
533,"An integration, long range planning, and migration guide for the stock point logistics integrated communications project 
","Buckley, Winston Hamlett; Case, Edward John",1986-03,"This thesis examines the organization and management of Japan Maritime Self-Defense Force (JMSDF) and its similarities and common features with Japanese corporate management, a common style grounded in culture and more ..."
534,"Mobilization : an instrument of United States strategic policy. 
","Hancock, William Allen",1984,"The purpose of this study was to identify the specific
characteristics and qualities of the ""Excellent"" Public
Works Centers (PWCs) in the United States Navy. The specific
areas of interest were management style, staff, ..."
535,"Personality characteristics of effective Organizational Effectiveness consultants in the U.S. Navy 
","Hackett, William S.; McInerney, John Francis",1984-12,"Governments can effectively combat Marxist oriented revolutionary movements. The facade of legitimacy emerges as the most important variable in conducting a counter-insurgency 
campaign.  Highly developed organizational ..."
536,"Management in the Japan Maritime Self Defense Force: the effects of Japanese values and beliefs 
","Norimatsu, Takeshi",1997-12,no description
537,"Excellence in Public Works Centers in the United States Navy. 
","Kistner, Mark Edward",1987-12,A single linear vertical passive array is used in the 'SOFAR' channel to determine the depth of a single underwater source at a constant range.  The phase and amplitude weights applied to the array are determined by the ...
538,"Government can mount effective counter-insurgency programs against marxist-oriented revolutions 
","Hendricks, Robert Arthur",1983-09,"This thesis examines the differences of deterministic and stochastic LANCHESTER-type combat models.  Using an example of square-law attrition, solution methods and solutions are described.  A new analytic solution for equal ..."
539,"Human immunodeficiency virus antibody testing and the right of privacy. 
","MacArthur, Anne Leslie.",1987,"Hindcasts of the development, maintenance and decay of
warm anomalies in the North Pacific Ocean are attempted with
the Garwood one-dimensional ocean mixed layer model. Monthly
temperature analyses from the North Pacific ..."
540,"Amplitude shading and phase weighting of a vertical linear array in the SOFAR channel by the linear minimum variance estimation technique 
","McVicar, Daniel Patrick",1983-12,no description
541,"A further comparison of deterministic and stochastic Lanchester-type combat models 
","Klemm, Kurt Dieter",1980-09,"This thesis was written to synthesize some of the previous
work concerning the educational attainment and mental
level of enlistees. It addressed quality projections of the
future pool of recruits, the Academic Remedial ..."
542,"One dimensional model hindcasts of warm anomalies in the North Pacific Ocean. 
","Jaramillow, Bernardino J.",1984-12,no description
543,"Second sourcing in the acquisition of major weapon systems. 
","Parry, Dennis Scott",1979,An expert system is a subspecialty of various artificial intelligence systems which has relevance for military applications.  This thesis is concerned with examining the feasibility of using an expert systems approach for ...
544,"An examination of the quality of current and future military enlisted personnel. 
","Halter, Stanley F.",1979,"This thesis proposes a processor design for the Petite Amateur Navy Satellite
(PANSAT). The missions of PANSAT are considered. It compares the design of three
previous satellites with similar missions and determines the ..."
545,"Estimation of a cost function for a Naval Air Rework Facility. 
","Trafton, Wilbur Cobb.",1973,"This research project attempts to isolate the causes of the high rate of turnover amongst first and second class petty officers in the Coast Guard.  Coast Guardsmen stationed in San Francisco and in the south Texas area, ..."
546,"An expert systems approach to military decision support in an air defense scenario 
","Dodd, Stephen P.; Molidor, Michael J.",1992-03,no description
547,"Design of a reliable computing system for the Petite Amateur Navy Satellite (PANSAT). 
","Hiser, James K.",1989-03,"Equipment readiness is an essential component in maintaining the
Marine Corps as this country's ""Force in Readiness"". In today's environment
of austere funding, improved productivity and reliable budgeting
processes are ..."
548,"Retention of first and second class petty officers in the U.S. Coast Guard 
","Fowler, Franklin Timothy; Ramsey, David James, Jr.",1979-09,"The purpose of this research project is to document and examine the coding processes used by depots in accumulating cost data reported to the Office of the Assistant Secretary of Defense for Manpower, Installations, and ..."
549,"Remote terminal login from a microcomputer to the UNIX operating system using Ethernet as the communications medium. 
","Reeke, John Donald",1984,no description
550,"Cost estimation and productivity improvement within the depot maintenance activity. 
","Larson, Robert Dean",1983-03,This study was undertaken to demonstrate the feasibility of applying expert system technology to the Navy's H-46 helicopter maintenance process.  A microcomputer-based prototype known as a computer-aided diagnostic system ...
551,"Documentation and evaluation of Depot Maintenance Cost System coding and reporting by Department of Defense depots 
","Guess, Harry Samuel, Jr",1984-12,"Increasing costs and declining resources have resulted
in emphasis placed on evaluation and measurement of
effectiveness and efficiency of Morale, Welfare, and
Recreation organizations. This thesis addresses the
requirement ..."
552,"An investigation of parameters effecting the vaporization of fuel under conditions encountered in a turbo-jet combustion chamber. 
","Koch, Rudolph H.",1956-06,no description
553,"Development of a prototype H-46 helicopter diagnostic expert system. 
","Gadzala, Thomas J.",1988-09,no description
554,"An evaluation program for nonprofit recreation organizations 
","Brooks, Stephen B.",1983-09,"""Excellence in the VP Navy"" is examined, first by providing the views of senior naval officers at the functional and operational wing level; then, four squadrons considered excellent by these senior officers are examined ..."
555,"An investigation of the effectiveness, selection and evaluation of Navy exploratory development programs. 
","Potts, Dennis L.",1977,"This thesis examines the use of fuzzy set theory and the
analytic hierarchy process in decision making. It begins by
reviewing the insight of psychologists, social scientists
and computer scientists to the decision ..."
556,"Pool boiling of R-114/oil mixtures from single tubes and tube bundles. 
","Murphy, Thomas J.",1987,"This thesis details steps of the knowledge utilization
process which are applicable to individuals and organizations
and develops a model of an organization in which the process
takes place. Elements of four categories ..."
557,"Excellence in the VP Navy 
","Sigler, Steven J.",1984-12,"Navy Stock Points are vital links in the Navy's supply/
maintenance network; their performance has a direct impact
on supply response time and operational availability of
fleet equipment. One of the major functions ..."
558,"Some applications of fuzzy sets and the analytical hierarchy process to decision making 
","Castro, Alberto Rosas",1984-09,"This study develops a prototype model which can be used to allocate strategic
sealift resources in crisis deployments. The first part of the model is a GAMS-Based
Integer Program that extends a classic network flow ..."
559,"A primer and checklist for the technology transfer/knowledge utilization process 
","Brink, Gale Dean",1980-03,no description
560,"System integration at Navy stock points. 
","Kline, Richard W.",1979-09,It is a common belief that government organizations are generally less effective and efficient than  commercial entities. Among the prominent problems that need to be addressed in this context is the process  leading to a ...
561,"Strategic allocation of sealift: a GAMS-Based Integer programming approach. 
","Lally, Michael J.",1987-09,no description
562,"A study of the communication capabilities of the OPARS flight planning system for various levels of demand. 
","Smith, Kenneth L.",1980,Studies have been conducted of the frequency stabilization of the output from a Sylvania 941 Carbon Dioxide laser by active comparison with a Stark-tuned NH(2)D line center in an absorption cell.  A dithered Stark voltage ...
563,"Vertical integration and the military - a strategic approach to outsourcing decisions of the Department of Defense 
","Wild, Thomas H.",2006-03,no description
564,"Absolute electroacoustic measurement of temperature oscillations in super-fluid helium by the reciprocity method 
","Ogg, Bradley Ray.; Valdivia, James,Jr.",1983,no description
565,"Stark cell stabilization of a CO(2) laser 
","Knolhoff, Larry Edward",1980-03,no description
566,"Factors affecting the organizational commitment of military physicians. 
","Menifee, James T.",1984,no description
567,"Development of a prototype North Pacific Ocean surface visibility climatology stratified by observation times. 
","Talbot, Thomas Norman; Renard, Robert Joseph",1981,"The steady state temperatures of a conventional, 15 HP electric motor were compared to those of a rotating-heat-pipe cooled motor under identical loading conditions. Fourteen thermocouples were used to measure temperatures ..."
568,"Tidal and river datums in the Sacramento river. 
","Zeile, Fred Carl; Thompson, Warren C.",1979,"Marine safety is a major responsibility of the
United States Coast Guard. In carrying out this task,
the Coast Guard conducts periodic inspections of
existing merchant vessels and supervises construction
of new vessels. ..."
569,"Design and construction of truck arrester bed research facility. 
","Trueblood, Michael S.",1984,no description
570,"The study of a rotating-heat-pipe-cooled electric motor 
","Immel, Gerhard Otto",1980,no description
571,"A vessel inspection information system. 
","Wilson, Larry Mark",1977-09,"Aircraft measurements made offshore during a coastal
fog sequence by R.A. Markson are analyzed . Fog occurrence
and areal extent are determined using aircraft, ship and
shore station obs ervations obtained during the ..."
572,"Elastic-plastic analysis of a unidirectional composite under longitudinal shear. 
","Wechselberger, Jacob Frank.",1973,no description
573,"An application of encounter rate modelling to vessel traffic in Puget Sound. 
","Adams, Bruce Charles.",1974,no description
574,"Santa Ana associated offshore fog : forecasting with a sequential model. 
","Backes, Douglas Allen",1977,no description
575,"Operational EA6B mission planning programs. 
","Smith, Stephen Wayne",1979,The purpose of this research was the development of a thermo­ mechanical procedure to process Aluminum- Magnesium alloys and testing effects of alloying additions on these alloys. Magnesium contents of eight and ten weight ...
576,"Refinement of a statistical diagnostic model of marine fog using FNWC model output parameters. 
","Ouzts, Steve O'Neal; Renard, Robert J.",1979,no description
577,"Parametric and nonparametric estimation of the mean number of customers in service for AN M/G/00 queue. 
","Park, Dong Keun",1986,"This thesis is a study of the Naval Military Personnel Command (NMPC) and its requirements to interconnect office area/local area networks and mainframe resources to form a comprehensive, organization-wide internet. The ..."
578,"The influence of alloy composition and thermo-mechanical processing procedure on microstructure and mechanical properties of high-magnesium aluminum-magnesium alloys 
","Johnson, Ralph Brian",1980-06,"Internal conflict is steadily increasing in importance. Whether it is called low intensity conflict or operations other than war, current conflict theories do not adequately explain the dynamics of internal conflict nor ..."
579,"Global weather prediction model difference schemes. 
","Mihok, William Franklin.",1974,"In this thesis, we designed, simulated, and analyzed a wireless communications system for an autonomous unmanned vehicle system. The system used for the design context is the Unmanned Vehicle (UV) Sentry, which is a system ..."
580,"A study of the Naval Military Personnel Command: internet connectivity issues, requirements, & recommendations 
","Johnson, Robert Edward; Peterson, Steven William",1991-09,"Swarm counter measure systems currently use enhanced weapons and sensor capabilities to address the threat of opponent swarms. However, there is a gap in current defense capabilities to counter swarm attacks, because brute ..."
581,"How men rebel: an organizational model for insurgency 
","Bender, William J.; Johnson, Craig, L.",1995-12,"The U.S. Coast Guard is uniquely suited to utilize multi-mission unmanned maritime systems (UMS) to maintain its leading role in maritime safety, security and stewardship. Current UMS technological capabilities coupled ..."
582,"Communications network design, simulation, and analysis for an autonomous unmanned vehicle system 
","Matson, Nathan C.",2011-06,This paper analyzes the employability of laser weapons on a Navy Littoral Combat Ship (LCS) class ship to counter small and fast boat threats. A general model of laser weapons is established to identify the attributes that ...
583,"Swarm Observations Implementing Integration Theory to Understand an Opponent Swarm 
","Diukman, Anner Gaby",2012-09,Electronic support measures (ESM) systems play an increasingly important role in modern warfare and can influence the outcome of a military engagement. The application of ESM can be extended to anti-guerrilla and anti-drug ...
584,"A systems engineering analysis of unmanned maritime systems for U.S. Coast Guard missions 
","Zorn, James B.",2013-06,no description
585,"Analysis of High Energy Laser Weapon Employment from a Navy Ship 
","ANG, Ching Na",2012-09,no description
586,"Performance analysis of high frequency single-site-location antenna arrays using numerical electromagnetic modeling 
","Schiantarelli, Harry Thornberry",1990-09,"More than 1450 runs were made and analyzed with a noble gas scintillation counter and its associated equip ment. The counter itself consists of a special photomultiplier tube looking into a scintillation chamber, and is ..."
587,"Unobligated carryover in defense appropriations. 
","Langer, Chester R.",21306,"Spares Acquisition Integrated with Production (SAIP) is a technique for obtaining economies of scale in spares acquisition by placing orders for spares concurrently with other customer's orders for items requiring the same, ..."
588,"Interaction between laminar boundary layers and shock waves with separation of flow. 
","Koepcke, W. W.",1957-05,"This thesis examines military retirement costs and the muchpublicized
unfunded liability that has accrued. Accounting and
funding of pension costs in the private sector are analyzed by
discussing accepted actuarial ..."
589,"Work with a noble gas scintillation counter 
","Pickens, Jackson R.",21306,"Computerized methods have not been widely accepted by the construction
industry with regard to project cost control and scheduling. As computer
technology advances and the economic pressures on contractors increase,
it ..."
590,"Applicability of Spares Acquisition Integrated with Production (SAIP) to Naval aviation weapon systems 
","Platt, Christopher D.",1993-06,Intensity scintillation in a laser beam at 0.63 micrometers in the marine boundary layer has been studied over a 4.3 kilometer horizontal path across Monterey Bay and also from shore to ship at San Nicolas Island. Optical ...
591,"Retirement accounting and the unfunded liability. 
","Church, Albert T.",1979-03,"A direct-sequence (DS) spread spectrum system which could be used by a conventional
amplitude modulated (AM) radio system was designed, built and tested.
A delay-lock loop was used to provide code synchronization in the ..."
592,"A construction Superintendent's project monitoring system 
","Bromilow, Neil Frank",1976-08,"Charge and current density distributions in the
vicinity of the cross junction of several
configurations of electrically long, moderately thick, crossed-monopole antennas with an intersecting angle of 45 degrees were ..."
593,"Laser beam scintillation in the marine boundary layer 
","Haagensen, Brian Christian",1973-06,"A ship in steering is considered as a physical mechanism that is
forced by a rudder movement to produce a response. Emphasis is
laid upon the relation between the forcing and the response, leaving
aside any detailed ..."
594,"Measured noise performance of a direct-sequence spread-spectrum system and a comparison of single-vice dual-channel delay-lock loops 
","Bartone, Chris G.",1987-09,"A system to measure the modulation transfer function of
the atmosphere over the ocean has been designed, constructed,
and tested. The apparatus employs a high resolution scanning
telescope with the capability for use ..."
595,"Charge and current density distributions on moderately thick transmitting crossed-monopole antennas 
","Beyatte, William Edward",1976-12,"The delivery truck problem is one in which a truck is loaded with m packages, one package to be delivered to each of m destinations. The amount of fuel consumed by the truck is directly dependent upon the current total ..."
596,"Course-keeping with automatic control. 
","Aguayo, Eduardo",1973-12,no description
597,"An experiment to measure the modulation transfer function of the atmosphere in the marine boundary layer 
","Alexander, Marion Romaine",1974-06,no description
598,"A branch and bound algorithm for the delivery truck problem 
","Balut, Stephen John",1973-06,"In 1960 the United States Navy Weather Research Facility, Norfolk;
Virginia, (NWRF) derived a set of linear regression equations having as
their purpose to extrapolate vertically height and temperature data up
to the ..."
599,"Management problems and considerations in utilization of automatic test equipment. 
","Galing, Searcy G.",1964,no description
600,"A preliminary design study for a ground effect machine. 
","Merrick, Martin Peck",1968,no description
601,"An evaluation of the U.S. Navy stratospheric extrapolation equations and an intercomparison of several methods of 100, 50 and 30-mb analyses 
","Carrigan, Richard C.; Pagnillo, Richard J.",1965,no description
602,"Approaches to the n-job m-machine scheduling problem. 
","Shackelton, Norman John.",1971,"A new consideration in the growth mechanism of whiskers is examined.
The heat flow due to the shape of the crystal and the thermodynamics
of the growth reaction is believed to be an important factor
in the unidirectional ..."
603,"The effect of the interface compound on the tensile strength of an aluminum matrix - boron fiber composite. 
","White, David A.",1969,no description
604,"An evaluation of the Seabee training program at Port Hueneme, California. 
","Anderson, Nelson Richard",1950-06,The stress distribution in an incomplete tore loaded as shown in Fig. 1 is of particular interest since it very closely approximates that in heavy close-coiled helical springs under axial tension or compression.  Necessarily ...
605,"An examination of the cold tip theory of whisker growth. 
","Hovermale, Mark Daniel",1972-06,Recent conflicts such as Operation Desert Shield/Storm and Operation Iraqi Freedom highlight the logistics difficulties the United States faces by relying on foreign access and infrastructure and large supply stockpiles ...
606,"Estimation of the dynamic characteristics of physical systems with the aid of a Fourier synthesizer 
","Balfe, John M.; Woodard, David J.",1956-05,This thesis discusses current interoperability issues that exist with video teleconferencing systems in the Department of Defense (DoD). Recent advances in video compression and the creation of a high speed digital ...
607,"Torsion in an incomplete tore: an approximate solution for the stress distribution in a circular ring sector under uniform torsion using energy methods 
","Callaway, William Franklin",1952-05,"Historical perspective and previous studies have shown motion sickness has a significant effect on some percentage of ship crews, especially during the early phase of the deployment. This research examined the primary ..."
608,"Seabasing and joint expeditionary logistics 
","Bender, Amy; Cottle, Jacob; Craddock, Timothy; Dowd, Justin; Feese, Rick; Foster, Brett; Gainey, John; Jimenez, Ivan; Johnson, Brent; Johnson, Terry; Lemmon, John; Levendofske, Michael; Liskey, Dale; Oliphant, Anthony; Olvera, Daniel; Partington, William; Peace, Steven; Tanks, Paul; SEA Cohort SEA-6",2004-12,The Naval Supply Systems Command (NAVSUP) and the Naval Air Systems Command (NAVAIR) decided to sponsor a Naval Aviation Depot (NADEP) and Fleet Industrial Supply Center (FISC) partnership to determine what material support ...
609,"Video teleconferencing interoperability issues in the Department of Defense 
","Couch, Joseph A.; Stidham, Jerry R.",1995-06,This thesis develops a quantitative process for determining if the changes being made to the combat/weapon systems during a maintenance availability are significant and the risk those changes pose to the readiness of the ...
610,"Lifecycle readiness and ship deployment 
","Shin, Andrew G",2013-06,"The feasibility of using a three axis control, momentum bias system with magnetic actuators for sun-oriented operations is explored. Relevant equations of motion are developed for a sun-oriented coordinate system and control ..."
611,"End user inventory consolidation: is it cost effective? 
","Mannino, Vito; Mintzer, Thomas",1995-03,"This thesis examines the possibility of implementation of a Commercial Activity
(CA) program in the Republic of Korea (ROK) military. For more than three decades
in the U.S., a CA program has been executed to improve ..."
612,"Defining and assessing the impact to the combat/weapon systems of a ship post major overhaul 
","Beiderbecke, Bix A.",2013-06,no description
613,"The Impact on Mission Readiness of Trident On-Board-Repair-Parts Inventory Reductions 
","Wolfe, Scott (Jeffery S.)",1995-06,no description
614,"A proposal for implementation of commercial activity program in Republic of Korea: Army maintenance depot 
","Kim, Nak Heung; Kim, Jae Soo",1986-12,"This paper describes a digital, microprocessor
controlled data acquisition system which optimizes
man/machine communications. The processor provides
digital feedback control, data collection over any
number of channels ..."
615,"Pullout and creep of geosynthetics in a soil matrix. 
","Newman, R. Scott.",1986,"SEAGUARD is an event store computer simulation of the antiship
missile defense of a naval task force using surface to air and air
to air missiles. It simulates the interaction between the antiship
missiles and the ..."
616,"The Brethren Church and the Navy Chaplaincy. 
","Schultz, Thomas Arnold",1977,no description
617,"A microprocessor controlled automatic data logging system (ADL) 
","Casko, John David",1977-06,no description
618,"Seaguard: a general purpose antiship missile defense computer simulation. 
","Callahan, Alexander Joseph",1979-03,no description
619,"Investigation of the statistics of ocean current speeds. 
","Mahaffy, Lorrence Alger.",1974,"Many current army combat simulation models require
digitized terrain inputs for their execution, resulting
in a costly and time-consuming operation. A methodology
to generate parametric terrain as a function of the
number ..."
620,"The feasibility of rotating boilers for marine gas turbine waste heat recovery. 
","Rhodes, Donald Ray.",1973,"Heat-transfer measurements were made for condensation of
steam on three finned tubes with rectangular-section fins.
These tubes have a fin thickness and fin height of 1.0 mm and
fin spacings of 0.5, 1.0 and 1.5 mm. Data ..."
621,"High frequency propagation anomalies. 
","Stapleton, Daniel Victor.",1973,"The impact of complexity on software quality and costs
is examined. Historic and current issues relating to complexity
in the software development and software cost estimation
processes are reviewed. Select complexity ..."
622,"Generation and analysis of parameterized terrain for land combat. 
","Kim, Chung Young",1977-03,"The purpose of this research was to investigate the role of the nongovernment standards setting 
bodies and the Department of Defense in the standards setting process, and; current DoD initiatives to streamline the ..."
623,"Indirect measurement of local condensing heat-transfer coefficient around horizontal finned tubes 
","Lester, Donald J. Jr.",1987-09,no description
624,"Complexity as a factor of quality and cost in large scale software development. 
","Harris, Joe Newton",1979-12,no description
625,"The role of specifications and standards in the Department of Defense acquisition process 
","Konetski, Mark L.",1986-06,no description
626,"An interactive computer code for preliminary design of solid propellant rocket motors. 
","Yuan, Chung-I; Netzer, David Willis",1987,"This thesis presents the application of EIBENVALUE
SENSITIVITY ANALYSIS and SINGULAR VALUE ANALYSIS to the
control o+ a SEA-SKIMMING supersonic missile, in the vertical
plane."
627,"Human adaptation to the computer. 
","Sycuro, Frederick A.",1986,"This study presents a two-phase approach to the generation and maintenance
of a polygonal cartographic database to be used with autonomous vehicle route
planning. The database is non-interactively generated from available ..."
628,"A potentiokinetic determination of corrosion rates in artificial seawater - hypochlorite solutions. 
","Price, Joseph Maurice",1976,"A model of cusp breakdown in the eight functional molars and eight
bicuspids of career officers in military service was developed on the
basis of empirical data obtained from complete dental histories of career
personnel. ..."
629,"Sensitivity and robustness analysis for sea-skimming missile. 
","Amorim de Andrade, Olavo",1986,no description
630,"Two-dimensional polygonal representation of maps for use with autonomous vehicle route planning. 
","Diehl, Roger Keith",1986,no description
631,"Cost effectiveness in silver versus gold restorations of cusp failures. 
","Lightstone, Robert Martin",1973-09,no description
632,"The opening of the Gulf of Aqaba. 
","McIntyre, John Joseph.",1962,no description
633,"Adaptation of prestressed concrete to modular girder bridge design for advanced base construction 
","Snow, Arthur W.; Meeks, Arthur F.",1953-05,no description
634,"Whirlwind programming of S(2) approximation for flux distribution in a finite cylindrical reactor 
","Campbell, William Edward; Panciera, Vincent William",1957-06,no description
635,"The development of an experimental technique for procuring shadowgraphs of the combustion process within a turbo-jet combustion chamber. 
","LaRoe, Edward T.",1950-05,no description
636,"Vertical motions and their relationship to the jet stream. 
","LaCava, John",1950-06,no description
637,"Theoretical design of reinforcing rings for circular cutouts in flat plates in tension. 
","Squires, Lewis Walter",1950-06,"A computer simulation program has been written in IBM's GPSS V to model the issue processing functions of U.S. Naval Supply Depot, Yokosuka, Japan.  The results of simulation experiments that may be conducted with the model ..."
638,"Measurement of total cross sections of liquefiable 
","Hinchey, john Joseph",1951,It is desirable to perform a study of the elastic responses of submarine hulls and internally attached structures to underwater shock loading.  In view of the expense and possible involvement of non-shock testable equipment ...
639,"Aeroelastic study of a simple model. 
","Miller, Raymond L.",1956-05,This paper constitutes an investigation of human factors in U.S. Coast Guard operated vessel traffic system operations center in general and the San Francisco center in particular.  Research involved in preparation of this ...
640,"A simulation model of issue processing at Naval Supply Depot Yokosuka, Japan 
","Clift, Michael S.",1991-09,Interactive digital processing of optical data is shown to be useful in investigations of pattern recognition techniques.  A system including a flying spot scanner and graphics terminal for the optical to digital conversion ...
641,"A parametric study of elastic response of submarine-installed equipment subjected to UNDEX side-on loading 
","DeConto, Gerald Francis",1986-03,"An object detection system to sense obstructions in the path of
low speed vehicles is described. The system uses a pulsed GaAs
diode laser as an illuminator, and a PIN photodiode as a detector.
Reliable detection of ..."
642,"Human factors aspects in a level IV vessel traffic system operations center 
","Cowan, Michael Francis",1973-09,no description
643,"Interactive digital processing of optical data 
","Craig, John Stephen",1972-12,no description
644,"An optical object detection system for sensing obstructions to low speed vehicles 
","Burman, George Alfred",1972-06,The modeling of damped signals as the impulse response of a pole-zero system is considered for a broad range of pole-zero modeling algorithms.  The goal is to obtain the best possible fit between the model impulse response ...
645,"An investigation of the effectiveness of baffles in promoting mixing of a hot gas with cold air under steady flow conditions 
","Ulrich, Charles W.",1952-04,A model for calculating the index of refraction of atomic species present in the cavity of a Xenon Fluoride Laser is applied to Neon and Neon*(3s) . The model considers the variation from unity to be a function of the ...
646,"Development of a prototype Computerized Advising System for student academic performance prediction in elective courses. 
","Sirmen, R. Tanju.",1986,This study addresses a general class of decision situations whose solutions are directly applicable to inventory acquisitions and or disposals. Although optimal solutions are well known when subsequent costs are linear to ...
647,"Pole-zero modeling of transient waveforms: a comparison of methods with application to acoustic signals 
","May, Gary L.",1991-03,A small scale ground effect test rig was used to study the ground plane flow field generated by a STOVL aircraft in hover. The objective of the research was to support NASA-Ames Research Center planning for the Large Scale ...
648,"A simple model for calculating the index of refraction of Neon I and Neon* (3s) in the cavity of a Xenon Fluoride laser. 
","Etchechury, James",1979-06,"Parametric sound generation has been an active area of
applied research for the last ten years. The acoustic parametric
source takes advantage of the non-linearity of the
medium to generate energy at the difference of ..."
649,"Stochastic single period inventory decisions based on full quadratic cost functions 
","Padgett, Susan B.",1994-06,no description
650,"Strut and wall interference on jet-induced ground effects of a STOVL aircraft in hover 
","Kristy, Michael H.",1995-09,"This thesis examines current recommendations and initiatives to streamline the
Navy Field Contracting System and improve procurement support for naval shipyards.
Specific recommendations from the Coopers & Lybrand shipyard ..."
651,"Design and application of an underwater acoustic parametric source 
","Khosla, Ranvir C.",1973-12,The purpose of this MBA professional report is to explore and analyze Performance Based Service Contracting (PBSC) and provide a clear description of PBSC to Turkish Department of Defense policy-makers. This Report includes ...
652,"Mobile Konami Code Source Files 
","Boomgaarden, Jacob; Corney, Joshua",42090,The purpose of this paper was to report on a survey conducted by the University of Florida for the Florida Department of Transportation (FDOT). The survey analyzed the productivity rates used by the FDOT to determine ...
653,"Investigation of initiatives to improve procurement support at U.S. Naval shipyards. 
","McDonald, Charles D.",1987-06,"Contingency contracting is the process where vital supplies and services needed to maintain deployed forces are obtained on behalf of the United States Government. These actions are used for emergencies, such as, disaster ..."
654,"Analysis of Performance Based Service Contracting and its applicability toTurkey's defense acquisition activities 
","Yilmaz, Gunaydin",2010-12,no description
655,"Survey of productivity rates used for highway construction. 
","Harber, Michael A.",1988,no description
656,"Marine Corps contingency contracting MCI 
","Kehr, Jonathan R.; Burger, Kenneth; Wobensmith, Brian",2003-12,"Strategic sealift is a perpetual concern for every naval officer planning naval  operations. Historical experience (such as WW II, Korean War, Vietnam War, Operation  Corporate, Operations Desert Shield/Desert Storm, the ..."
657,"Towards the determination of follower maturity : an operationalization of life cycle leadership. 
","Moore, Loren Irving",1975,no description
658,"A survey of capital expenditure procedures and practices in industry : their practical application and effectiveness. 
","Viafore, Kenneth Michael",1975,DecisionNet is an online Internet-based repository of decision technologies. It links remote users with these technologies and provides a directory service to enable search and selection of suitable technologies. The ability ...
659,"Assessing options for contingent contracting of merchant ships for naval and expeditionary operations 
","Dimitriou, Athanasios",2008-12,"The attenuation of a monochromatic signal in the presence of discrete noise in one dimension is investigated numerically. The predicted Gaussian attenuation is verified by the numerical program, which is based on Riemann's ..."
660,"The Small Business Administration and its contribution to the small business community. 
","Kirwan, Kevin Carey",1969,Radar guided anti-shipping missiles are the primary threat for most modern Navies. The inherent nature of the monopulse radar employed by most anti- shipping missiles makes it highly resistant to active ECM techniques. ...
661,"Indexing and retrieval in digital libraries : developing taxonomies for a repository of decision technologies 
","Rogers, Patricia.",1996-03,"In the aftermath of the Cold War, proliferation of late-20th-century Soviet and NATO offensive weaponry has provided many countries and groups around the globe with the ability to challenge the defensive infrastructure of ..."
662,"Numerical simulations of shockless nonlinear acoustic noise in one dimension 
","Jang, Hyeon Joo",1996-12,no description
663,"Effectiveness of off-board active decoys against anti-shipping missiles 
","Tan, Tun-Hou",1996-09,The focus of this thesis is to identify the prerequisite knowledge required by the Navy financial manager in the budget formulation and execution process for civilian personnel and payroll management. Research at the field ...
664,"Missile defense in the 21st century acquisition environment: exploring a BMD-capable LCS mission package 
","Bradley, Cayle; Ly, Darren; Gamban, Dennis; Moreno, Hermanzo; Podawiltz, Matthew; Wilk, Adam",2013-09,"This thesis covers the design, simulation and analysis of a SIMULINK system designed to predict the maneuvering characteristics of the Total Ship System Engineering (TSSE) program's first proposed hull design. The system ..."
665,"A photographic technique for the determination of the angular distribution of neutrons from deuteron-induced reactions 
","Barnes, Willis Clifford; Case, Edson Gardner",1952-05,no description
